"_id","pstatus","isInstant","ngoId","citizenId","firstName","lastName","sex","mobile","javixId","citizenLoginId","aadhaar","screenerId","createdAt","ScreenerfirstName","ScreenerlastName","citizenAddress","citizenDOB","issubscreener","email"
"6495b07749955107837cd736",0,0,"ngodevp","168753163927330712","Ushanta","shinde","Female","","Javix State/Ja/00/Us23061995/977","168753163927330712","456985236985","167299905268485932","2023-06-23T14:47:19.274Z","screenerdevp","test","[""""]","[""1995-06-23T00:00:00.000Z""]",0,
"646b52a7224d679bbc5e8c04",0,0,"ngodevp","168475511180689426","mansi","sonawane","Female","7875932666","Goa/No/00/ms11052023/652","hhh@gmail.com","855888556999","167299905268485932","2023-05-22T11:31:51.807Z","screenerdevp","test","[""cfbbbnmj""]","[""2023-05-11T00:00:00.000Z""]",0,"hhh@gmail.com"
"6464c998224d679bbc5e8bfb",0,0,"ngodevp","168432680809567953","savita","patil","Female","9529166305","Maharashtra/Na/00/sp12012023/269","rn@gmail.com","555988855559","167299905268485932","2023-05-17T12:33:28.096Z","screenerdevp","test","[""dfhjddrjjbcf""]","[""2023-01-12T00:00:00.000Z""]",0,"rn@gmail.com"
"63bef56595cfa513965d669e",0,0,"ngodevp","167345904526464874","gh","jj","Male","8966856358","Daman and Diu /Da/00/gj11012023/154","vghhhjgg@fhjk.hjj","558856666655","167299905268485932","2023-01-11T17:44:05.264Z","screenerdevp","test","[""xfgggy""]","[""2023-01-11T00:00:00.000Z""]",0,"vghhhjgg@fhjk.hjj"
"63bef45d95cfa513965d669a",0,0,"ngodevp","167345878199197692","ghy","ggh","Male","5555555555","Bihar/Ar/00/gg11012023/991","ghh@ghh.ffd","588888888689","167299905268485932","2023-01-11T17:39:41.992Z","screenerdevp","test","[""ffy""]","[""2023-01-11T00:00:00.000Z""]",0,"ghh@ghh.ffd"
"63bef32895cfa513965d6696",0,0,"ngodevp","167345847207467284","hgghhh","xfggg","Male","","Daman and Diu /Di/00/hx11012023/288","hhhh@ygy.iyg","698888556566","167299905268485932","2023-01-11T17:34:32.075Z","screenerdevp","test","[""vhhi""]","[""2023-01-11T00:00:00.000Z""]",0,"hhhh@ygy.iyg"
"63bef26195cfa513965d6692",0,0,"ngodevp","167345827318881608","gh","ty","Male","2625588855","Chhattisgarh/Be/00/gt06012023/530","ttyugfcd@gu.gfc","558855566688","167299905268485932","2023-01-11T17:31:13.189Z","screenerdevp","test","[""tffgh""]","[""2023-01-06T00:00:00.000Z""]",0,"ttyugfcd@gu.gfc"
"63bbdd437173cdcfcd0fe5a9",0,0,"ngodevp","167325625988360219","akshada","sanap","Female","9685213151","Maharashtra/Ah/00/as05012023/362","ac@gmail.com","975727653595","167299924164034194","2023-01-09T09:24:19.887Z","sevikadevp","test","[""zbzyzgzh""]","[""2023-01-05T00:00:00.000Z""]",1,"ac@gmail.com"
"63b9dc3a7173cdcfcd0fe4f8",0,0,"ngodevp","167312492251165528","Virat","Khatri","Male","8523485787","Gujarat/Bo/00/VK12011988/367","virat@gmail.com","698506938045","167299905268485932","2023-01-07T20:55:22.512Z","screenerdevp","test","[""Main road""]","[""1988-01-12T00:00:00.000Z""]",0,"virat@gmail.com"
"63b9a9de7173cdcfcd0fe4ed",0,0,"ngodevp","167311203040699532","ravi","dhiman","Male","9497948497","Maharashtra/Ah/00/rd07012011/838","hsjsjd@gmail.com ","946497948484","167299905268485932","2023-01-07T17:20:30.407Z","screenerdevp","test","[""jabsjsksks""]","[""2011-01-07T00:00:00.000Z""]",0,"hsjsjd@gmail.com "
"63b909447173cdcfcd0fe45d",0,0,"ngodevp","167307091613230256","akshada1@","sanap@1","Female","1234567891","Daman and Diu /Da/00/as07012023/242","akshadasanap@gmail.comm","216546846846","167299905268485932","2023-01-07T05:55:16.133Z","screenerdevp","test","[""Nashik""]","[""2023-01-07T00:00:00.000Z""]",0,"akshadasanap@gmail.comm"
